Date,Price,Oil_Price,USD_Index,Trade_Weighted_Dollar,CPI,Volume,US_Tariff_Index,Sanction_Intensity,Russia_Sanction_Intensity,Price_cap,Oil_lag1,Oil_lag7,Oil_ma7,USD_lag1,USD_lag7,USD_ma7
2022-06-14,1809.5,118.92,121.6668,119.69364677458948,295.072,536.0,112.49752359006423,91.7013698630137,95.0,1809.5,120.92,119.55,120.81142857142856,121.1517,118.4401,120.18175714285715
2022-06-15,1815.300048828125,115.32,121.6382,117.04067530686892,295.072,301750.0,113.7520882685548,91.72602739726028,95.0,1815.300048828125,118.92,121.94,119.86571428571428,121.6668,118.3944,120.64515714285714
2022-06-16,1845.699951171875,117.56,120.6755,113.13832793491598,295.072,136.0,114.97132965581538,91.75068493150684,95.0,1845.699951171875,115.32,121.52,119.3,121.6382,118.9193,120.89604285714286
2022-06-17,1835.5999755859375,109.56,121.2389,114.92291354550429,295.072,17.0,115.89209833275396,91.77534246575344,95.0,1835.5999755859375,117.56,120.73,117.70428571428572,120.6755,119.9942,121.07385714285715
2022-06-18,1835.3499755859375,109.7925,121.090675,115.02504316418373,295.072,14.5,115.59590316619634,91.80000000000001,95.0,1835.3499755859375,109.56,120.79333333333334,116.1327380952381,121.2389,120.38003333333334,121.17537738095238
2022-06-19,1835.0999755859375,110.02499999999999,120.94245,115.12717278286317,295.072,12.0,115.2997079996387,91.82465753424658,95.0,1835.0999755859375,109.7925,120.85666666666667,114.58535714285715,121.090675,120.76586666666667,121.20060357142857
2022-06-20,1834.8499755859375,110.2575,120.794225,115.2293024015426,295.072,9.5,115.00351283308107,91.84931506849315,95.0,1834.8499755859375,110.02499999999999,120.92,113.06214285714285,120.94245,121.1517,121.14953571428573
2022-06-21,1834.5999755859375,110.49,120.646,115.33143202022204,295.072,7.0,114.70731766652344,91.87397260273973,95.0,1834.5999755859375,110.2575,118.92,111.85785714285714,120.794225,121.6668,121.00370714285714
2022-06-22,1834.300048828125,106.22,120.5232,114.08654280626747,295.072,115.0,113.5506451300182,91.8986301369863,95.0,1834.300048828125,110.49,115.32,110.55785714285715,120.646,121.6382,120.84442142857142
2022-06-23,1825.699951171875,105.75,120.7646,117.1356650765635,295.072,9.0,113.73139984295538,91.92328767123288,95.0,1825.699951171875,106.22,117.56,108.87071428571429,120.5232,120.6755,120.85715000000002
2022-06-24,1826.5,109.07,120.4897,117.22341913205364,295.072,321591.0,116.4784124122836,91.94794520547946,95.0,1826.5,105.75,109.56,108.80071428571429,120.7646,121.2389,120.75012142857143
2022-06-25,1824.6333414713542,109.86,120.3861,117.53141439470518,295.072,308698.6666666667,116.04972357664207,91.97260273972603,95.0,1824.6333414713542,109.07,109.7925,108.81035714285714,120.4897,121.090675,120.64946785714285
2022-06-26,1822.7666829427083,110.64999999999999,120.2825,117.83940965735674,295.072,295806.3333333333,115.62103474100054,91.99726027397259,95.0,1822.7666829427083,109.86,110.02499999999999,108.89964285714287,120.3861,120.94245,120.55518928571428
2022-06-27,1820.9000244140625,111.44,120.1789,118.14740492000828,295.072,282914.0,115.192345905359,92.02191780821916,95.0,1820.9000244140625,110.64999999999999,110.2575,109.06857142857143,120.2825,120.794225,120.46728571428571
2022-06-28,1817.5,113.66,120.6254,113.56179289428438,295.072,391.0,114.07224063496716,92.04657534246574,95.0,1817.5,111.44,110.49,109.52142857142857,120.1789,120.646,120.46434285714285
2022-06-29,1813.699951171875,111.65,120.9689,114.28436961379616,295.072,5690.0,114.24766200985036,92.07123287671232,95.0,1813.699951171875,113.66,106.22,110.29714285714284,120.6254,120.5232,120.52801428571429
2022-06-30,1804.0999755859375,107.76,120.9718,114.59171161642256,295.072,328.0,114.96757293084994,92.0958904109589,95.0,1804.0999755859375,111.65,105.75,110.5842857142857,120.9689,120.7646,120.55761428571428
